text,label
"['이종석', '한효주', '나오다', '드라마', '이후', '로', '드라마', '보다', '2년', '전인가', '신선하다', '근데', '이렇다', '개막', '장', '드라마', '는', '도대체', '누가', '보다', '면', '변태', '보다', '이다', '정상', '인', '은', '채널', '을', '돌리다', '되다']",1
"['씨', '바알', '노무', '노무', '술프노', '오늘', '저녁', '은', '꽂다', '등심', '이다', 'ㅠㅜ']",1
"['짱깨', '끄다', 'ㅡ', '패쓰']",1
"['의', '사생활', '고인', '되다', '설리', '를', '위', '하다', '모두', '조용하다', '누굴', '탓', '하다', '무슨', '소', '용이', '있다']",0
"['아무리', '법', '뭣같아', '도', '무슨', '자격', '으로', '개인', '의', '신상', '정보', '를', '불', '특정', '다수', '에게', '공개', '하다', '도저히', '이해', '안되다', '법', '을', '바꾸다', '위해', '노력', '하다', '저런', '능력', '으로', '불법', '인', '을', '공공', '의', '이익', '으로', '포장', '하다', '말다']",0
"['다음', '도', '들어오다', '하다', '의견', '내다', '유튜버', '목', '자르다', '고추', '아줌마', '끄다', '여기저기', '서', '진술', '나오니', '무슨', '기강', '감찰', '이니', '하다', '협박', '들어가다', '댓글', '에', '중국', '러시아', '욕', '하다', '이제', '아가리', '닥치다', '우리나라', '도', '똑같이', '되어다']",1
"['도', '아무', '테', '자기야', '라고', '하다', '있다', '도', '성희롱', '인', '같다']",0
"['나경', '아', '젖', '깔다', '사진', '이나', '인스타', '에', '올리다', '물좀', '빼다']",1
"['어린시절', '가정교육', '못', '받다', '애', '은', '절대', '본성', '을', '숨다', '없다']",1
"['지연', '얼굴', '은', '배우', '같다']",0
"['건축학', '개론', '보다', '솔직하다', '건축학', '개론', '보다는', '아니다', 'ㅋ', '건축학', '개론', '은', '건', '맙시', '다', 'ㅋ', '볼때', '마다', '가슴', '애려', '옵니다', 'ㅜㅜ']",0
"['개별', '공무원', '뷰웅들', '의', '헷지', '랄', '에', '뭔', '청와대', '까지', '들먹이다', '빠끄', '네', '도', '순', '시리', '개뻘짓했', '청와대', '는', '암', '도', '않다', '하다', '이다']",1
"['서열', '1', '위', '네', '좆', '냥', '찍', '도', '못함', 'ㅋ']",1
"['대다', '깨물다', '문재인', '협박', '범', '을', '쉴드치다', '역시', '대가리', '붕어', '인', '듯']",1
"['기사', '내지', '말다']",0
"['세계', '으로', '코로나', '19', '방역', '최고', '로', '인정', '을', '받다', '하다', '자', '에게', '크다', '박수', '를', '보내다']",0
"['돈', '전부', '는', '아니다', '라지', '만', '첫째', '돈', '먼저', '이세', '상', '에는', '돈', '으로', '세상', '을사', '니', 'ㅠ']",0
"['예능', '보다', '진지', '빨다', '많다', 'ㅋㅋ', '극혐', '예능', '은', '예능', '임', '저', '거', '보고', '인성', '어쩌고저쩌고', 'ㅋㅋ', '어휴', '노답']",1
"['차', '하다', '하다', '닐', '너무', '짠하다', 'ㅠㅜ', '어쩐지', '처음', '부터', '눈빛', '묘', '하다']",0
"['ㄱㅊ', '노', '박', '심다', '다음', '에', '존나', '패', '는', '거']",1
"['홍위병', '뭉', '추가', '위', '하다', '아가리', '돈', '들어오다']",1
"['시어머니', '모시다', '친정엄마', '생신', '상도', '차리다', '건가', '제', '능력', '껏', '하다', '친정엄마', '까지', '모시다', '생', '고생', '시키다', '점수', '따다', '골빈', '건지다', '철', '딱', '서다', '없다', '건지다', '나이', '도', '40', '이나', '먹다']",1
"['남자', '측', '욕', '하다', '말다']",0
"['예', '술병', '걸리다', '힙스터', '오지', '게', '의미', '부여', '하고', '빨다']",1
"['오창석', '잘생기다', '연기', '도', '괜찮다', '왜', '에', 'ㅠ', '피고인', '퐉', '터뜨리다', '하다']",0
"['오로지', '냄비', '무기', '인', '오징어', '썩다', '냄새', '는', '세균', '덩어리', '김', '치', '들다']",1
"['좆', '냥', '주인', '쉑덜왜', '집사', '집사', 'ㅇㅈㄹ', '함']",1
"['이건', '무슨']",0
"['심뽀', '더럽다', '인간', '많다', '젊다', '청년', '열심히', '하다', '차다', '대단하다', '싶다', '반면', '에', '시', '기', '질투', '는', '인간', '도', '많다']",0
"['공장', '야하다', '새끼', '재수', '하다', '지랄', '꼴깝', '을', '떨다', '대다', '자기', '도', '툭', '튀어', '나오다', 'ㅋㅋ']",1
"['차', '은우', '는', '아스트로', '탈퇴', '하고', '배우다', '걸다', '돼다']",0
"['처', '먹다', '예능', '그만', '해', '라', '예능', '랍시고', '노이즈', '마케팅', '으로', '식당', '이용', '하다', '아니다']",1
"['베트콩', '왜', '이리', '나대다']",1
"['담배', '피다', '연예인', '아', '갈다', '똥', '네']",1
"['도희', '없다', '긍']",0
"['민주당', '압승', '인데', '왜', '걸', '로', '지랄', '인지']",1
"['창문', '에', '비추다', '어머님', '설거지', '하다', '모습', '레게', '노']",0
"['재밍네영', '기괴하다', '그대로', '인', '듯']",0
"['한국', '와', '서', '면', '정돈', '아무', '도', '아니다', '이참', '에', '귀', '화해', '라']",0
"['헉', '보다', '엄청', '예쁘다', 'ㅎ']",0
"['잘생기다', '근데', '40', '대', '비율', '너무', '높다', '으']",0
"['근데', '김지석', '은', '나오다', '짬밥', '아니다']",0
"['방탄소년단', '도', '이제', '퇴물', '되다', '꺼지다', '이제', 'ㅋㅋ']",1
"['역시', '오늘', '도', '엔딩', '맛집']",0
"['기독교', '목사', '떡', '치고', '다니다']",1
"['최욱', '만', '불쌍', 'ㅜ']",0
"['저렇게', '단기간', '에', '찌다', '빼다', '하다', '난', '왜', '근', '10년', '지나다', '빼다', '어렵다', '걸다']",0
"['신품', '섹시하다', '도', '자다', '어울리다', '컨셉', '은', '쪼금', '아쉽다', '네', '용', 'ㅋㅋ', '그래도', '예쁘다', '심']",0
"['요즘', '과', '하다', '오픈', '하다', 'ㅋㅋ']",0
"['틀', '딱이다', '먹다', '나이', '돼다']",1
"['우익', '사쿠라', '한국', '에서', '꺼지다']",1
"['문', '재앙', '부터', '조', '사가', '자']",1
"['장사', '하다', '처', '묵고', '살기', '힘들다', '그냥', '디지다']",1
